,Year,Industry_aggregation_NZSIOC,Industry_code_NZSIOC,Industry_name_NZSIOC,Units,Variable_code,Variable_name,Variable_category,Value,Industry_code_ANZSIC06,zeros,zero + 1
0,2024,Level 1,99999,All industries,Dollars (millions),H01,Total income,Financial performance,979594.0,"ANZSIC06 divisions A-S (excluding classes K6330, L6711, O7552, O760, O771, O772, S9540, S9601, S9602, and S9603)",0,9
1,2024,,99999,All industries,,H04,"Sales, government funding, grants and subsidies",Financial performance,,"ANZSIC06 divisions A-S (excluding classes K6330, L6711, O7552, O760, O771, O772, S9540, S9601, S9602, and S9603)",0,9
2,2024,Level 1,99999,All industries,Dollars (millions),H05,"Interest, dividends and donations",Financial performance,112188.0,"ANZSIC06 divisions A-S (excluding classes K6330, L6711, O7552, O760, O771, O772, S9540, S9601, S9602, and S9603)",0,9
3,2024,Level 1,99999,All industries,Dollars (millions),H07,Non-operating income,Financial performance,28781.0,"ANZSIC06 divisions A-S (excluding classes K6330, L6711, O7552, O760, O771, O772, S9540, S9601, S9602, and S9603)",0,9
4,2024,Level 1,99999,,Dollars (millions),H08,Total expenditure,Financial performance,856960.0,"ANZSIC06 divisions A-S (excluding classes K6330, L6711, O7552, O760, O771, O772, S9540, S9601, S9602, and S9603)",0,9
5,2024,Level 1,99999,All industries,Dollars (millions),H09,Interest and donations,Financial performance,71493.0,"ANZSIC06 divisions A-S (excluding classes K6330, L6711, O7552, O760, O771, O772, S9540, S9601, S9602, and S9603)",0,9
6,2024,Level 1,99999,All industries,Dollars (millions),H10,Indirect taxes,Financial performance,8540.0,"ANZSIC06 divisions A-S (excluding classes K6330, L6711, O7552, O760, O771, O772, S9540, S9601, S9602, and S9603)",0,9
7,2024,Level 1,99999,All industries,Dollars (millions),H11,Depreciation,Financial performance,32896.0,"ANZSIC06 divisions A-S (excluding classes K6330, L6711, O7552, O760, O771, O772, S9540, S9601, S9602, and S9603)",0,9
8,2024,Level 1,99999,All industries,Dollars (millions),H12,Salaries and wages paid,Financial performance,157616.0,"ANZSIC06 divisions A-S (excluding classes K6330, L6711, O7552, O760, O771, O772, S9540, S9601, S9602, and S9603)",0,9
9,2024,Level 1,99999,All industries,Dollars (millions),H13,Redundancy and severance,Financial performance,323.0,"ANZSIC06 divisions A-S (excluding classes K6330, L6711, O7552, O760, O771, O772, S9540, S9601, S9602, and S9603)",0,9
10,2024,Level 1,99999,All industries,Dollars (millions),H14,Salaries and wages to self employed commission agents,Financial performance,1548.0,"ANZSIC06 divisions A-S (excluding classes K6330, L6711, O7552, O760, O771, O772, S9540, S9601, S9602, and S9603)",0,9
11,2024,Level 1,99999,All industries,Dollars (millions),H19,Purchases and other operating expenses,Financial performance,568850.0,"ANZSIC06 divisions A-S (excluding classes K6330, L6711, O7552, O760, O771, O772, S9540, S9601, S9602, and S9603)",0,9
12,2024,Level 1,99999,All industries,Dollars (millions),H20,Non-operating expenses,Financial performance,16016.0,"ANZSIC06 divisions A-S (excluding classes K6330, L6711, O7552, O760, O771, O772, S9540, S9601, S9602, and S9603)",0,9
13,2024,Level 1,99999,All industries,Dollars (millions),H21,Opening stocks,Financial performance,86685.0,"ANZSIC06 divisions A-S (excluding classes K6330, L6711, O7552, O760, O771, O772, S9540, S9601, S9602, and S9603)",0,9
14,2024,Level 1,99999,All industries,Dollars (millions),H22,Closing stocks,Financial performance,84990.0,"ANZSIC06 divisions A-S (excluding classes K6330, L6711, O7552, O760, O771, O772, S9540, S9601, S9602, and S9603)",0,9
15,2024,Level 1,99999,All industries,Dollars (millions),H23,Surplus before income tax,Financial performance,120939.0,"ANZSIC06 divisions A-S (excluding classes K6330, L6711, O7552, O760, O771, O772, S9540, S9601, S9602, and S9603)",0,9
16,2024,Level 1,99999,All industries,Dollars (millions),H24,Total assets,Financial position,2931807.0,"ANZSIC06 divisions A-S (excluding classes K6330, L6711, O7552, O760, O771, O772, S9540, S9601, S9602, and S9603)",0,9
17,2024,Level 1,99999,All industries,Dollars (millions),H25,Current assets,Financial position,911135.0,"ANZSIC06 divisions A-S (excluding classes K6330, L6711, O7552, O760, O771, O772, S9540, S9601, S9602, and S9603)",0,9
18,2024,Level 1,99999,All industries,Dollars (millions),H26,Fixed tangible assets,Financial position,719959.0,"ANZSIC06 divisions A-S (excluding classes K6330, L6711, O7552, O760, O771, O772, S9540, S9601, S9602, and S9603)",0,9
19,2024,Level 1,99999,All industries,Dollars (millions),H29,Other assets,Financial position,1300713.0,"ANZSIC06 divisions A-S (excluding classes K6330, L6711, O7552, O760, O771, O772, S9540, S9601, S9602, and S9603)",0,9
20,2024,Level 1,99999,All industries,Dollars (millions),H30,Total equity and liabilities,Financial position,2931807.0,"ANZSIC06 divisions A-S (excluding classes K6330, L6711, O7552, O760, O771, O772, S9540, S9601, S9602, and S9603)",0,9
21,2024,Level 1,99999,All industries,Dollars (millions),H31,Shareholders funds or owners equity,Financial position,1011581.0,"ANZSIC06 divisions A-S (excluding classes K6330, L6711, O7552, O760, O771, O772, S9540, S9601, S9602, and S9603)",0,9
22,2024,Level 1,99999,All industries,Dollars (millions),H32,Current liabilities,Financial position,1118376.0,"ANZSIC06 divisions A-S (excluding classes K6330, L6711, O7552, O760, O771, O772, S9540, S9601, S9602, and S9603)",0,9
23,2024,Level 1,99999,All industries,Dollars (millions),H33,Other liabilities,Financial position,801850.0,"ANZSIC06 divisions A-S (excluding classes K6330, L6711, O7552, O760, O771, O772, S9540, S9601, S9602, and S9603)",0,9
24,2024,Level 1,99999,All industries,Dollars,H34,Total income per employee count,Financial ratios,483100.0,"ANZSIC06 divisions A-S (excluding classes K6330, L6711, O7552, O760, O771, O772, S9540, S9601, S9602, and S9603)",0,9
25,2024,Level 1,99999,All industries,Dollars,H35,Surplus per employee count,Financial ratios,59600.0,"ANZSIC06 divisions A-S (excluding classes K6330, L6711, O7552, O760, O771, O772, S9540, S9601, S9602, and S9603)",0,9
26,2024,Level 1,99999,All industries,Percentage,H36,Current ratio,Financial ratios,81.0,"ANZSIC06 divisions A-S (excluding classes K6330, L6711, O7552, O760, O771, O772, S9540, S9601, S9602, and S9603)",0,9
27,2024,Level 1,99999,All industries,Percentage,H37,Quick ratio,Financial ratios,74.0,"ANZSIC06 divisions A-S (excluding classes K6330, L6711, O7552, O760, O771, O772, S9540, S9601, S9602, and S9603)",0,9
28,2024,Level 1,99999,All industries,Percentage,H39,Return on equity,Financial ratios,12.0,"ANZSIC06 divisions A-S (excluding classes K6330, L6711, O7552, O760, O771, O772, S9540, S9601, S9602, and S9603)",0,9
